Voltage U1	Current IA
U1/V	IA/nA

0,02	0,33
0,04	0,33
0,07	0,35
0,09	0,36
0,12	0,36
0,14	0,35
0,17	0,35
0,19	0,37
0,21	0,36
0,24	0,35
0,26	0,35
0,29	0,35
0,31	0,36
0,34	0,36
0,36	0,36
0,39	0,35
0,41	0,35
0,43	0,35
0,46	0,36
0,48	0,36
0,51	0,36
0,53	0,37
0,56	0,37
0,58	0,37
0,61	0,37
0,63	0,35
0,65	0,35
0,68	0,35
0,70	0,34
0,73	0,34
0,75	0,33
0,78	0,33
0,80	0,36
0,83	0,37
0,85	0,37
0,87	0,37
0,90	0,37
0,92	0,37
0,95	0,38
0,97	0,36
1,00	0,36
1,02	0,35
1,05	0,35
1,07	0,36
1,09	0,36
1,12	0,36
1,14	0,36
1,17	0,36
1,19	0,37
1,22	0,37
1,24	0,37
1,26	0,38
1,29	0,37
1,31	0,37
1,34	0,37
1,36	0,35
1,39	0,35
1,41	0,35
1,44	0,34
1,46	0,35
1,48	0,35
1,51	0,36
1,53	0,38
1,56	0,37
1,58	0,37
1,61	0,37
1,63	0,36
1,66	0,36
1,68	0,36
1,70	0,35
1,73	0,35
1,75	0,35
1,78	0,35
1,80	0,36
1,83	0,36
1,85	0,37
1,88	0,36
1,90	0,36
1,92	0,37
1,95	0,37
1,97	0,36
2,00	0,37
2,02	0,37
2,05	0,37
2,07	0,37
2,10	0,35
2,12	0,36
2,14	0,35
2,17	0,34
2,19	0,34
2,22	0,33
2,24	0,33
2,27	0,36
2,29	0,36
2,31	0,37
2,34	0,37
2,36	0,38
2,39	0,38
2,41	0,39
2,44	0,37
2,46	0,37
2,49	0,35
2,51	0,36
2,53	0,36
2,56	0,36
2,58	0,36
2,61	0,36
2,63	0,37
2,66	0,37
2,68	0,37
2,71	0,37
2,73	0,38
2,75	0,37
2,78	0,37
2,80	0,37
2,83	0,36
2,85	0,36
2,88	0,35
2,90	0,35
2,93	0,35
2,95	0,34
2,97	0,33
3,00	0,36
3,02	0,36
3,05	0,35
3,07	0,34
3,10	0,35
3,12	0,36
3,15	0,37
3,17	0,36
3,19	0,37
3,22	0,37
3,24	0,37
3,27	0,37
3,29	0,37
3,32	0,37
3,34	0,36
3,36	0,36
3,39	0,36
3,41	0,36
3,44	0,35
3,46	0,36
3,49	0,36
3,51	0,37
3,54	0,37
3,56	0,36
3,58	0,36
3,61	0,37
3,63	0,36
3,66	0,36
3,68	0,35
3,71	0,35
3,73	0,37
3,76	0,37
3,78	0,37
3,80	0,36
3,83	0,36
3,85	0,36
3,88	0,37
3,90	0,36
3,93	0,36
3,95	0,36
3,98	0,36
4,00	0,37
4,02	0,37
4,05	0,36
4,07	0,36
4,10	0,37
4,12	0,37
4,15	0,37
4,17	0,36
4,20	0,38
4,22	0,38
4,24	0,38
4,27	0,37
4,29	0,36
4,32	0,36
4,34	0,35
4,37	0,34
4,39	0,35
4,42	0,35
4,44	0,34
4,46	0,37
4,49	0,37
4,51	0,38
4,54	0,37
4,56	0,36
4,59	0,38
4,61	0,38
4,63	0,37
4,66	0,37
4,68	0,36
4,71	0,37
4,73	0,38
4,76	0,38
4,78	0,38
4,81	0,38
4,83	0,39
4,85	0,40
4,88	0,40
4,90	0,40
4,93	0,41
4,95	0,41
4,98	0,41
5,00	0,42
5,03	0,42
5,05	0,43
5,07	0,43
5,10	0,43
5,12	0,44
5,15	0,43
5,17	0,43
5,20	0,44
5,22	0,44
5,25	0,45
5,27	0,45
5,29	0,45
5,32	0,47
5,34	0,49
5,37	0,48
5,39	0,48
5,42	0,48
5,44	0,49
5,47	0,49
5,49	0,50
5,51	0,50
5,54	0,51
5,56	0,52
5,59	0,54
5,61	0,55
5,64	0,56
5,66	0,57
5,68	0,58
5,71	0,59
5,73	0,59
5,76	0,60
5,78	0,61
5,81	0,62
5,83	0,62
5,86	0,64
5,88	0,63
5,90	0,64
5,93	0,67
5,95	0,67
5,98	0,68
6,00	0,70
6,03	0,70
6,05	0,73
6,08	0,73
6,10	0,72
6,12	0,74
6,15	0,74
6,17	0,75
6,20	0,77
6,22	0,79
6,25	0,81
6,27	0,83
6,30	0,85
6,32	0,87
6,34	0,89
6,37	0,90
6,39	0,91
6,42	0,92
6,44	0,93
6,47	0,94
6,49	0,96
6,52	0,97
6,54	0,97
6,56	0,99
6,59	1,02
6,61	1,02
6,64	1,03
6,66	1,06
6,69	1,08
6,71	1,10
6,73	1,11
6,76	1,11
6,78	1,14
6,81	1,15
6,83	1,15
6,86	1,16
6,88	1,17
6,91	1,19
6,93	1,21
6,95	1,23
6,98	1,24
