Voltage U1	Current IA	Current IA'
U1/V	IA/nA	IA/nA

0,02	0,38	0,37
0,04	0,38	0,37
0,07	0,38	0,37
0,09	0,38	0,37
0,12	0,38	0,37
0,14	0,37	0,37
0,17	0,37	0,37
0,19	0,36	0,37
0,21	0,36	0,37
0,24	0,36	0,37
0,26	0,35	0,37
0,29	0,36	0,37
0,31	0,36	0,37
0,34	0,35	0,37
0,36	0,37	0,37
0,39	0,35	0,37
0,41	0,35	0,37
0,43	0,37	0,37
0,46	0,36	0,37
0,48	0,37	0,37
0,51	0,37	0,37
0,53	0,37	0,37
0,56	0,38	0,37
0,58	0,39	0,37
0,61	0,37	0,37
0,63	0,38	0,37
0,65	0,37	0,37
0,68	0,38	0,37
0,70	0,38	0,37
0,73	0,37	0,37
0,75	0,37	0,37
0,78	0,38	0,37
0,80	0,37	0,37
0,83	0,39	0,37
0,85	0,38	0,37
0,87	0,38	0,37
0,90	0,38	0,37
0,92	0,37	0,37
0,95	0,37	0,37
0,97	0,36	0,38
1,00	0,36	0,38
1,02	0,36	0,38
1,05	0,36	0,38
1,07	0,36	0,38
1,09	0,37	0,38
1,12	0,36	0,38
1,14	0,37	0,38
1,17	0,39	0,37
1,19	0,38	0,37
1,22	0,39	0,37
1,24	0,38	0,37
1,26	0,38	0,37
1,29	0,40	0,37
1,31	0,40	0,37
1,34	0,38	0,37
1,36	0,38	0,37
1,39	0,36	0,38
1,41	0,36	0,38
1,44	0,37	0,38
1,46	0,37	0,38
1,48	0,37	0,38
1,51	0,36	0,38
1,53	0,36	0,38
1,56	0,38	0,38
1,58	0,38	0,37
1,61	0,37	0,37
1,63	0,37	0,37
1,66	0,37	0,37
1,68	0,38	0,37
1,70	0,38	0,37
1,73	0,38	0,37
1,75	0,38	0,38
1,78	0,38	0,38
1,80	0,37	0,38
1,83	0,38	0,38
1,85	0,37	0,38
1,88	0,36	0,38
1,90	0,37	0,37
1,92	0,37	0,37
1,95	0,38	0,37
1,97	0,38	0,37
2,00	0,38	0,37
2,02	0,39	0,37
2,05	0,40	0,37
2,07	0,39	0,37
2,10	0,38	0,37
2,12	0,37	0,37
2,14	0,36	0,37
2,17	0,36	0,37
2,19	0,36	0,37
2,22	0,36	0,37
2,24	0,36	0,37
2,27	0,37	0,37
2,29	0,38	0,37
2,31	0,38	0,37
2,34	0,37	0,37
2,36	0,37	0,37
2,39	0,36	0,36
2,41	0,37	0,36
2,44	0,36	0,36
2,46	0,37	0,36
2,49	0,36	0,37
2,51	0,36	0,37
2,53	0,36	0,37
2,56	0,36	0,37
2,58	0,34	0,37
2,61	0,35	0,37
2,63	0,36	0,37
2,66	0,37	0,36
2,68	0,37	0,36
2,71	0,37	0,37
2,73	0,37	0,37
2,75	0,38	0,37
2,78	0,38	0,37
2,80	0,37	0,37
2,83	0,37	0,37
2,85	0,37	0,37
2,88	0,36	0,37
2,90	0,36	0,37
2,93	0,37	0,37
2,95	0,37	0,37
2,97	0,37	0,37
3,00	0,36	0,37
3,02	0,38	0,37
3,05	0,38	0,37
3,07	0,37	0,37
3,10	0,37	0,37
3,12	0,37	0,36
3,15	0,37	0,36
3,17	0,37	0,36
3,19	0,36	0,36
3,22	0,37	0,36
3,24	0,37	0,36
3,27	0,37	0,36
3,29	0,37	0,36
3,32	0,35	0,36
3,34	0,35	0,36
3,36	0,35	0,36
3,39	0,34	0,36
3,41	0,34	0,36
3,44	0,34	0,36
3,46	0,35	0,36
3,49	0,37	0,36
3,51	0,37	0,36
3,54	0,36	0,36
3,56	0,37	0,36
3,58	0,36	0,36
3,61	0,36	0,36
3,63	0,37	0,36
3,66	0,36	0,36
3,68	0,37	0,36
3,71	0,37	0,36
3,73	0,36	0,36
3,76	0,38	0,36
3,78	0,38	0,36
3,80	0,37	0,36
3,83	0,37	0,36
3,85	0,36	0,36
3,88	0,36	0,36
3,90	0,36	0,36
3,93	0,36	0,36
3,95	0,37	0,36
3,98	0,36	0,36
4,00	0,36	0,36
4,02	0,36	0,36
4,05	0,36	0,36
4,07	0,36	0,36
4,10	0,36	0,36
4,12	0,36	0,36
4,15	0,37	0,36
4,17	0,37	0,37
4,20	0,36	0,37
4,22	0,38	0,37
4,24	0,37	0,37
4,27	0,36	0,37
4,29	0,36	0,37
4,32	0,35	0,37
4,34	0,36	0,37
4,37	0,37	0,37
4,39	0,37	0,37
4,42	0,37	0,37
4,44	0,38	0,37
4,46	0,38	0,37
4,49	0,39	0,37
4,51	0,39	0,37
4,54	0,38	0,37
4,56	0,37	0,37
4,59	0,36	0,37
4,61	0,36	0,37
4,63	0,36	0,37
4,66	0,36	0,37
4,68	0,37	0,37
4,71	0,37	0,37
4,73	0,36	0,37
4,76	0,38	0,37
4,78	0,37	0,37
4,81	0,37	0,37
4,83	0,36	0,37
4,85	0,36	0,37
4,88	0,36	0,37
4,90	0,36	0,37
4,93	0,35	0,37
4,95	0,36	0,37
4,98	0,37	0,37
5,00	0,37	0,37
5,03	0,37	0,37
5,05	0,36	0,37
5,07	0,37	0,37
5,10	0,38	0,37
5,12	0,37	0,37
5,15	0,37	0,37
5,17	0,38	0,37
5,20	0,37	0,37
5,22	0,39	0,37
5,25	0,39	0,37
5,27	0,38	0,37
5,29	0,38	0,37
5,32	0,36	0,37
5,34	0,36	0,37
5,37	0,37	0,37
5,39	0,36	0,37
5,42	0,36	0,37
5,44	0,36	0,37
5,47	0,36	0,37
5,49	0,37	0,37
5,51	0,37	0,37
5,54	0,37	0,37
5,56	0,38	0,37
5,59	0,38	0,37
5,61	0,38	0,37
5,64	0,38	0,37
5,66	0,38	0,37
5,68	0,38	0,37
5,71	0,38	0,37
5,73	0,38	0,37
