Voltage U1	Current IA
U1/V	IA/nA

0,02	0,29
0,04	0,30
0,07	0,30
0,09	0,30
0,12	0,31
0,14	0,32
0,17	0,32
0,19	0,32
0,21	0,33
0,24	0,33
0,26	0,33
0,29	0,34
0,31	0,35
0,34	0,35
0,36	0,35
0,39	0,35
0,41	0,35
0,43	0,36
0,46	0,36
0,48	0,35
0,51	0,36
0,53	0,36
0,56	0,36
0,58	0,35
0,61	0,35
0,63	0,36
0,65	0,36
0,68	0,35
0,70	0,35
0,73	0,36
0,75	0,35
0,78	0,35
0,80	0,35
0,83	0,35
0,85	0,35
0,87	0,35
0,90	0,35
0,92	0,35
0,95	0,35
0,97	0,35
1,00	0,35
1,02	0,35
1,05	0,35
1,07	0,35
1,09	0,35
1,12	0,35
1,14	0,35
1,17	0,35
1,19	0,36
1,22	0,35
1,24	0,35
1,26	0,35
1,29	0,36
1,31	0,35
1,34	0,34
1,36	0,35
1,39	0,35
1,41	0,35
1,44	0,35
1,46	0,35
1,48	0,36
1,51	0,35
1,53	0,35
1,56	0,35
1,58	0,35
1,61	0,35
1,63	0,35
1,66	0,35
1,68	0,36
1,70	0,35
1,73	0,35
1,75	0,35
1,78	0,36
1,80	0,35
1,83	0,34
1,85	0,35
1,88	0,35
1,90	0,35
1,92	0,35
1,95	0,35
1,97	0,36
2,00	0,36
2,02	0,36
2,05	0,36
2,07	0,36
2,10	0,36
2,12	0,35
2,14	0,36
2,17	0,36
2,19	0,36
2,22	0,35
2,24	0,36
2,27	0,36
2,29	0,35
2,31	0,35
2,34	0,35
2,36	0,36
2,39	0,36
2,41	0,36
2,44	0,36
2,46	0,36
2,49	0,36
2,51	0,35
2,53	0,35
2,56	0,35
2,58	0,35
2,61	0,35
2,63	0,35
2,66	0,35
2,68	0,34
2,71	0,34
2,73	0,35
2,75	0,35
2,78	0,34
2,80	0,34
2,83	0,35
2,85	0,35
2,88	0,34
2,90	0,34
2,93	0,35
2,95	0,35
2,97	0,34
3,00	0,35
3,02	0,35
3,05	0,34
3,07	0,34
3,10	0,35
3,12	0,35
3,15	0,35
3,17	0,35
3,19	0,35
3,22	0,36
3,24	0,36
3,27	0,35
3,29	0,35
3,32	0,36
3,34	0,36
3,36	0,35
3,39	0,35
3,41	0,36
3,44	0,36
3,46	0,35
3,49	0,35
3,51	0,36
3,54	0,36
3,56	0,36
3,58	0,36
3,61	0,36
3,63	0,36
3,66	0,36
3,68	0,36
3,71	0,36
3,73	0,36
3,76	0,35
3,78	0,35
3,80	0,36
3,83	0,35
3,85	0,35
3,88	0,35
3,90	0,35
3,93	0,35
3,95	0,35
3,98	0,35
4,00	0,35
4,02	0,35
4,05	0,35
4,07	0,35
4,10	0,35
4,12	0,35
4,15	0,35
4,17	0,35
4,20	0,35
4,22	0,35
4,24	0,35
4,27	0,35
4,29	0,35
4,32	0,35
4,34	0,35
4,37	0,35
4,39	0,35
4,42	0,35
4,44	0,36
4,46	0,36
4,49	0,36
4,51	0,36
4,54	0,37
4,56	0,37
4,59	0,38
4,61	0,38
4,63	0,39
4,66	0,40
4,68	0,40
4,71	0,41
4,73	0,42
4,76	0,43
4,78	0,44
4,81	0,45
4,83	0,47
4,85	0,49
4,88	0,50
4,90	0,52
4,93	0,54
4,95	0,56
4,98	0,58
5,00	0,59
5,03	0,62
5,05	0,65
5,07	0,67
5,10	0,69
5,12	0,72
5,15	0,76
5,17	0,78
5,20	0,81
5,22	0,84
5,25	0,88
5,27	0,90
5,29	0,93
5,32	0,97
5,34	1,00
5,37	1,03
5,39	1,06
5,42	1,10
5,44	1,14
5,47	1,17
5,49	1,20
5,51	1,23
5,54	1,27
5,56	1,30
5,59	1,33
5,61	1,37
5,64	1,41
5,66	1,44
5,68	1,46
5,71	1,50
5,73	1,53
5,76	1,56
5,78	1,59
5,81	1,62
5,83	1,66
5,86	1,68
5,88	1,71
5,90	1,74
5,93	1,77
5,95	1,80
5,98	1,83
6,00	1,86
6,03	1,89
6,05	1,91
6,08	1,94
6,10	1,97
6,12	2,00
6,15	2,02
6,17	2,05
6,20	2,07
6,22	2,10
6,25	2,12
6,27	2,15
6,30	2,18
6,32	2,20
6,34	2,22
6,37	2,25
6,39	2,27
6,42	2,29
6,44	2,31
6,47	2,34
6,49	2,37
6,52	2,39
6,54	2,41
6,56	2,43
6,59	2,46
6,61	2,48
6,64	2,50
6,66	2,52
6,69	2,55
6,71	2,57
6,73	2,58
6,76	2,61
6,78	2,64
6,81	2,66
6,83	2,68
6,86	2,70
6,88	2,73
6,91	2,75
6,93	2,76
6,95	2,79
6,98	2,81
