Detector angle	Rate at 33kV
2*theta/°	R(33kV)/Imp/s

6.0	205.0
6.2	210.0
6.4	208.0
6.6	163.0
6.8	161.0
7.0	141.0
7.2	135.0
7.4	108.0
7.6	91.0
7.8	72.0
8.0	67.0
8.2	66.0
8.4	65.0
8.6	53.0
8.8	52.0
9.0	50.0
9.2	40.0
9.4	44.0
9.6	36.0
9.8	40.0
10.0	34.0
10.2	38.0
10.4	43.0
10.6	46.0
10.8	48.0
11.0	61.0
11.2	68.0
11.3	78.0
11.6	85.0
11.8	104.0
12.0	92.0
12.2	134.0
12.4	126.0
12.6	141.0
12.8	145.0
13.0	136.0
13.2	170.0
13.4	159.0
13.6	155.0
13.8	171.0
14.0	176.0
14.2	174.0
14.4	183.0
14.6	176.0
14.8	196.0
15.0	208.0
15.2	188.0
15.4	211.0
15.6	213.0
15.8	194.0
16.0	223.0
16.2	191.0
16.4	227.0
16.6	231.0
16.7	229.0
17.0	222.0
17.2	245.0
17.4	238.0
17.6	226.0
17.7	224.0
18.0	258.0
18.2	263.0
18.4	240.0
18.6	258.0
18.8	252.0
19.0	253.0
19.2	256.0
19.4	256.0
19.6	251.0
19.8	271.0
20.0	260.0
20.2	268.0
20.4	257.0
20.6	280.0
20.8	288.0
21.0	284.0
21.2	297.0
21.4	292.0
21.6	287.0
21.7	278.0
22.0	285.0
22.2	278.0
22.4	283.0
22.6	280.0
22.8	281.0
23.0	282.0
23.2	277.0
23.4	300.0
23.6	291.0
23.8	289.0
24.0	300.0
24.2	313.0
24.4	333.0
24.6	314.0
24.7	291.0
25.0	287.0
25.2	304.0
25.4	310.0
25.6	313.0
25.8	285.0
26.0	291.0
26.2	266.0
26.4	252.0
26.6	275.0
26.8	250.0
27.0	252.0
27.2	252.0
27.4	243.0
27.6	235.0
27.8	256.0
28.0	257.0
28.2	248.0
28.4	232.0
28.6	247.0
28.8	244.0
29.0	230.0
29.2	254.0
29.4	232.0
29.6	242.0
29.8	232.0
30.0	224.0
30.2	235.0
30.4	225.0
30.6	228.0
30.8	231.0
31.0	228.0
31.2	226.0
31.4	221.0
31.6	215.0
31.8	224.0
32.0	219.0
32.2	214.0
32.4	217.0
32.5	215.0
32.8	213.0
33.0	219.0
33.2	194.0
33.4	197.0
33.6	220.0
33.8	205.0
34.0	203.0
34.2	204.0
34.4	207.0
34.5	190.0
34.8	194.0
35.0	188.0
35.2	197.0
35.4	184.0
35.5	191.0
35.8	175.0
36.0	188.0
36.2	186.0
36.4	178.0
36.5	177.0
36.8	191.0
37.0	198.0
37.2	185.0
37.4	185.0
37.5	182.0
37.8	182.0
38.0	185.0
38.2	177.0
38.4	167.0
38.6	170.0
38.8	176.0
39.0	154.0
39.2	181.0
39.4	160.0
39.5	151.0
39.8	144.0
40.0	148.0
40.2	166.0
40.4	150.0
40.5	155.0
40.8	159.0
41.0	147.0
41.2	146.0
41.4	129.0
41.5	130.0
41.8	133.0
42.0	139.0
42.2	121.0
42.4	137.0
42.6	125.0
42.8	137.0
43.0	132.0
43.2	121.0
43.4	130.0
43.6	124.0
43.8	117.0
44.0	110.0
44.2	109.0
44.4	126.0
44.5	148.0
44.8	138.0
45.0	126.0
45.2	102.0
45.4	80.0
45.5	101.0
45.8	97.0
46.0	98.0
46.2	90.0
46.4	101.0
46.5	96.0
46.8	83.0
47.0	73.0
47.2	82.0
47.4	83.0
47.6	87.0
47.8	80.0
48.0	88.0
48.2	97.0
48.4	95.0
48.6	101.0
48.8	76.0
49.0	70.0
49.2	65.0
49.4	69.0
49.5	73.0
49.8	70.0
50.0	82.0
50.2	77.0
50.4	81.0
50.5	96.0
50.8	181.0
51.0	423.0
51.2	1161.0
51.4	1524.0
51.6	1571.0
51.8	1049.0
52.0	331.0
52.2	167.0
52.4	127.0
52.6	121.0
52.8	99.0
53.0	91.0
53.2	98.0
53.4	103.0
53.6	88.0
53.8	82.0
54.0	67.0
54.2	76.0
54.4	63.0
54.6	71.0
54.8	60.0
55.0	66.0
55.2	70.0
55.4	60.0
55.6	80.0
55.8	86.0
56.0	83.0
56.2	111.0
56.4	158.0
56.6	428.0
56.8	1464.0
57.0	3473.0
57.2	4409.0
57.4	4224.0
57.6	2184.0
57.8	573.0
58.0	137.0
58.2	81.0
58.4	59.0
58.6	58.0
58.8	47.0
59.0	55.0
59.2	52.0
59.4	47.0
59.6	47.0
59.8	43.0
60.0	36.0
