Detector angle	Rate at 15kV
2*theta/°	R(15kV)/Imp/s

20.0	3.0
20.2	1.0
20.4	1.0
20.6	2.0
20.8	1.0
21.0	2.0
21.2	2.0
21.4	2.0
21.6	2.0
21.7	2.0
22.0	3.0
22.2	1.0
22.4	2.0
22.6	4.0
22.8	5.0
23.0	4.0
23.2	5.0
23.4	18.0
23.6	21.0
23.8	21.0
24.0	24.0
24.2	27.0
24.4	33.0
24.6	31.0
24.7	39.0
25.0	35.0
25.2	36.0
25.4	34.0
25.6	45.0
25.8	41.0
26.0	37.0
26.2	38.0
26.4	39.0
26.6	36.0
26.8	41.0
27.0	41.0
27.2	41.0
27.4	40.0
27.6	46.0
27.8	38.0
28.0	48.0
28.2	44.0
28.4	54.0
28.6	48.0
28.8	50.0
29.0	56.0
29.2	57.0
29.4	50.0
29.6	56.0
29.8	52.0
30.0	49.0
30.2	53.0
30.4	59.0
30.6	46.0
30.8	61.0
31.0	63.0
31.2	44.0
31.4	53.0
31.6	55.0
31.8	50.0
32.0	53.0
32.2	45.0
32.4	61.0
32.5	61.0
32.8	60.0
33.0	51.0
33.2	50.0
33.4	53.0
33.6	45.0
33.8	57.0
34.0	49.0
34.2	50.0
34.4	53.0
34.5	40.0
34.8	47.0
35.0	52.0
35.2	54.0
35.4	52.0
35.5	45.0
35.8	43.0
36.0	48.0
36.2	51.0
36.4	61.0
36.5	63.0
36.8	53.0
37.0	55.0
37.2	48.0
37.4	48.0
37.5	48.0
37.8	51.0
38.0	50.0
38.2	51.0
38.4	49.0
38.6	48.0
38.8	60.0
39.0	48.0
39.2	90.0
39.4	214.0
39.5	339.0
39.8	363.0
40.0	286.0
40.2	100.0
40.4	66.0
40.5	59.0
40.8	47.0
41.0	51.0
41.2	49.0
41.4	44.0
41.5	46.0
41.8	51.0
42.0	46.0
42.2	55.0
42.4	62.0
42.6	52.0
42.8	41.0
43.0	48.0
43.2	51.0
43.4	55.0
43.6	68.0
43.8	241.0
44.0	896.0
44.2	1422.0
44.4	1462.0
44.5	1073.0
44.8	179.0
45.0	56.0
45.2	39.0
45.4	32.0
45.5	35.0
45.8	33.0
46.0	31.0
46.2	0.0
46.4	23.0
46.5	28.0
46.8	28.0
47.0	25.0
47.2	23.0
47.4	28.0
47.6	26.0
47.8	32.0
48.0	25.0
48.2	27.0
48.4	22.0
48.6	22.0
48.8	24.0
49.0	18.0
49.2	20.0
49.4	12.0
49.5	10.0
49.8	16.0
50.0	21.0
50.2	14.0
50.4	23.0
50.5	19.0
50.8	19.0
51.0	18.0
51.2	17.0
51.4	9.0
51.6	20.0
51.8	14.0
52.0	12.0
52.2	14.0
52.4	11.0
52.6	11.0
52.8	13.0
53.0	11.0
53.2	16.0
53.4	10.0
53.6	10.0
53.8	16.0
54.0	10.0
54.2	3.0
54.4	10.0
54.6	11.0
54.8	12.0
55.0	9.0
55.2	8.0
55.4	5.0
55.6	5.0
55.8	10.0
56.0	8.0
56.2	6.0
56.4	7.0
56.6	4.0
56.8	10.0
57.0	8.0
57.2	7.0
57.4	6.0
57.6	6.0
57.8	8.0
58.0	8.0
58.2	7.0
58.4	6.0
58.6	6.0
58.8	8.0
59.0	6.0
59.2	6.0
59.4	5.0
59.6	4.0
59.8	5.0
60.0	7.0
