Detector angle	Rate at 33kV
2*theta/°	R(33kV)/Imp/s

6.0	144.0
6.2	150.0
6.4	136.0
6.6	140.0
6.8	105.0
7.0	113.0
7.2	96.0
7.4	85.0
7.6	0.0
7.8	63.0
8.0	63.0
8.2	55.0
8.4	44.0
8.6	45.0
8.8	42.0
9.0	32.0
9.2	33.0
9.4	36.0
9.6	32.0
9.8	33.0
10.0	36.0
10.2	57.0
10.4	53.0
10.6	64.0
10.8	77.0
11.0	89.0
11.2	116.0
11.3	111.0
11.6	119.0
11.8	118.0
12.0	131.0
12.2	137.0
12.4	137.0
12.6	149.0
12.8	139.0
13.0	144.0
13.2	148.0
13.4	130.0
13.6	159.0
13.8	133.0
14.0	145.0
14.2	160.0
14.4	141.0
14.6	157.0
14.8	127.0
15.0	143.0
15.2	133.0
15.4	138.0
15.6	131.0
15.8	128.0
16.0	139.0
16.2	138.0
16.4	97.0
16.6	114.0
16.7	114.0
17.0	109.0
17.2	115.0
17.4	99.0
17.6	112.0
17.7	104.0
18.0	98.0
18.2	94.0
18.4	95.0
18.6	97.0
18.8	126.0
19.0	172.0
19.2	209.0
19.4	233.0
19.6	212.0
19.8	234.0
20.0	246.0
20.2	234.0
20.4	230.0
20.6	229.0
20.8	227.0
21.0	229.0
21.2	212.0
21.4	217.0
21.6	211.0
21.7	238.0
22.0	221.0
22.2	228.0
22.4	211.0
22.6	236.0
22.8	225.0
23.0	210.0
23.2	212.0
23.4	225.0
23.6	192.0
23.8	235.0
24.0	209.0
24.2	202.0
24.4	202.0
24.6	209.0
24.7	212.0
25.0	195.0
25.2	220.0
25.4	207.0
25.6	188.0
25.8	162.0
26.0	187.0
26.2	160.0
26.4	155.0
26.6	157.0
26.8	133.0
27.0	157.0
27.2	163.0
27.4	133.0
27.6	162.0
27.8	138.0
28.0	156.0
28.2	137.0
28.4	131.0
28.6	153.0
28.8	122.0
29.0	139.0
29.2	124.0
29.4	127.0
29.6	140.0
29.8	121.0
30.0	135.0
30.2	110.0
30.4	108.0
30.6	119.0
30.8	112.0
31.0	105.0
31.2	106.0
31.4	107.0
31.6	100.0
31.8	101.0
32.0	96.0
32.2	99.0
32.4	99.0
32.5	95.0
32.8	88.0
33.0	98.0
33.2	78.0
33.4	85.0
33.6	91.0
33.8	84.0
34.0	68.0
34.2	75.0
34.4	69.0
34.5	78.0
34.8	76.0
35.0	77.0
35.2	71.0
35.4	74.0
35.5	74.0
35.8	51.0
36.0	72.0
36.2	65.0
36.4	66.0
36.5	55.0
36.8	62.0
37.0	56.0
37.2	58.0
37.4	51.0
37.5	54.0
37.8	55.0
38.0	52.0
38.2	48.0
38.4	57.0
38.6	45.0
38.8	52.0
39.0	58.0
39.2	89.0
39.4	171.0
39.5	375.0
39.8	477.0
40.0	403.0
40.2	176.0
40.4	93.0
40.5	79.0
40.8	68.0
41.0	55.0
41.2	57.0
41.4	59.0
41.5	49.0
41.8	57.0
42.0	48.0
42.2	51.0
42.4	56.0
42.6	54.0
42.8	56.0
43.0	54.0
43.2	57.0
43.4	62.0
43.6	73.0
43.8	166.0
44.0	482.0
44.2	972.0
44.4	1077.0
44.5	987.0
44.8	250.0
45.0	74.0
45.2	0.0
45.4	47.0
45.5	37.0
45.8	45.0
46.0	37.0
46.2	38.0
46.4	42.0
46.5	37.0
46.8	27.0
47.0	43.0
47.2	39.0
47.4	36.0
47.6	39.0
47.8	34.0
48.0	34.0
48.2	26.0
48.4	36.0
48.6	36.0
48.8	33.0
49.0	37.0
49.2	29.0
49.4	35.0
49.5	33.0
49.8	25.0
50.0	30.0
50.2	24.0
50.4	23.0
50.5	32.0
50.8	23.0
51.0	29.0
51.2	30.0
51.4	27.0
51.6	24.0
51.8	27.0
52.0	28.0
52.2	27.0
52.4	30.0
52.6	28.0
52.8	20.0
53.0	26.0
53.2	24.0
53.4	21.0
53.6	24.0
53.8	15.0
54.0	26.0
54.2	22.0
54.4	20.0
54.6	15.0
54.8	20.0
55.0	19.0
55.2	19.0
55.4	21.0
55.6	21.0
55.8	19.0
56.0	14.0
56.2	14.0
56.4	15.0
56.6	17.0
56.8	17.0
57.0	16.0
57.2	17.0
57.4	15.0
57.6	14.0
57.8	19.0
58.0	17.0
58.2	13.0
58.4	13.0
58.6	17.0
58.8	15.0
59.0	16.0
59.2	17.0
59.4	12.0
59.6	12.0
59.8	17.0
60.0	11.0
