Detector angle	Rate at 33kV
2*theta/°	R(33kV)/Imp/s

6.0	214.0
6.2	205.0
6.4	212.0
6.6	180.0
6.8	157.0
7.0	143.0
7.2	118.0
7.4	113.0
7.6	102.0
7.8	92.0
8.0	89.0
8.2	76.0
8.4	66.0
8.6	69.0
8.8	63.0
9.0	62.0
9.2	57.0
9.4	53.0
9.6	58.0
9.8	61.0
10.0	76.0
10.2	85.0
10.4	106.0
10.6	129.0
10.8	156.0
11.0	164.0
11.2	180.0
11.3	195.0
11.6	221.0
11.8	253.0
12.0	272.0
12.2	257.0
12.4	271.0
12.6	280.0
12.8	312.0
13.0	306.0
13.2	325.0
13.4	338.0
13.6	338.0
13.8	343.0
14.0	366.0
14.2	363.0
14.4	360.0
14.6	380.0
14.8	376.0
15.0	370.0
15.2	380.0
15.4	358.0
15.6	369.0
15.8	373.0
16.0	379.0
16.2	372.0
16.4	398.0
16.6	398.0
16.7	457.0
17.0	640.0
17.2	807.0
17.4	875.0
17.6	752.0
17.7	623.0
18.0	476.0
18.2	456.0
18.4	449.0
18.6	481.0
18.8	472.0
19.0	638.0
19.2	1230.0
19.4	1978.0
19.6	2818.0
19.8	2750.0
20.0	1772.0
20.2	829.0
20.4	520.0
20.6	446.0
20.8	447.0
21.0	440.0
21.2	430.0
21.4	423.0
21.6	459.0
21.7	437.0
22.0	440.0
22.2	437.0
22.4	471.0
22.6	444.0
22.8	444.0
23.0	444.0
23.2	448.0
23.4	475.0
23.6	434.0
23.8	462.0
24.0	464.0
24.2	460.0
24.4	455.0
24.6	461.0
24.7	477.0
25.0	439.0
25.2	471.0
25.4	455.0
25.6	445.0
25.8	422.0
26.0	384.0
26.2	359.0
26.4	354.0
26.6	356.0
26.8	353.0
27.0	352.0
27.2	374.0
27.4	350.0
27.6	342.0
27.8	348.0
28.0	360.0
28.2	360.0
28.4	358.0
28.6	336.0
28.8	362.0
29.0	347.0
29.2	339.0
29.4	343.0
29.6	330.0
29.8	327.0
30.0	341.0
30.2	318.0
30.4	324.0
30.6	323.0
30.8	317.0
31.0	333.0
31.2	326.0
31.4	313.0
31.6	301.0
31.8	296.0
32.0	301.0
32.2	304.0
32.4	317.0
32.5	298.0
32.8	287.0
33.0	303.0
33.2	273.0
33.4	284.0
33.6	270.0
33.8	291.0
34.0	283.0
34.2	280.0
34.4	281.0
34.5	265.0
34.8	279.0
35.0	273.0
35.2	292.0
35.4	290.0
35.5	326.0
35.8	324.0
36.0	299.0
36.2	292.0
36.4	267.0
36.5	254.0
36.8	266.0
37.0	270.0
37.2	270.0
37.4	257.0
37.5	262.0
37.8	244.0
38.0	234.0
38.2	253.0
38.4	228.0
38.6	247.0
38.8	223.0
39.0	210.0
39.2	221.0
39.4	241.0
39.5	233.0
39.8	235.0
40.0	342.0
40.2	467.0
40.4	671.0
40.5	668.0
40.8	549.0
41.0	405.0
41.2	283.0
41.4	210.0
41.5	190.0
41.8	175.0
42.0	181.0
42.2	185.0
42.4	173.0
42.6	178.0
42.8	166.0
43.0	157.0
43.2	147.0
43.4	145.0
43.6	139.0
43.8	151.0
44.0	145.0
44.2	175.0
44.4	164.0
44.5	157.0
44.8	152.0
45.0	121.0
45.2	138.0
45.4	136.0
45.5	132.0
45.8	119.0
46.0	121.0
46.2	116.0
46.4	111.0
46.5	112.0
46.8	109.0
47.0	109.0
47.2	108.0
47.4	116.0
47.6	109.0
47.8	107.0
48.0	103.0
48.2	100.0
48.4	102.0
48.6	97.0
48.8	94.0
49.0	83.0
49.2	94.0
49.4	89.0
49.5	83.0
49.8	85.0
50.0	83.0
50.2	87.0
50.4	82.0
50.5	83.0
50.8	88.0
51.0	86.0
51.2	69.0
51.4	75.0
51.6	75.0
51.8	67.0
52.0	72.0
52.2	83.0
52.4	71.0
52.6	61.0
52.8	68.0
53.0	63.0
53.2	68.0
53.4	65.0
53.6	67.0
53.8	62.0
54.0	53.0
54.2	62.0
54.4	54.0
54.6	62.0
54.8	59.0
55.0	67.0
55.2	74.0
55.4	60.0
55.6	61.0
55.8	57.0
56.0	52.0
56.2	44.0
56.4	46.0
56.6	44.0
56.8	49.0
57.0	41.0
57.2	45.0
57.4	47.0
57.6	47.0
57.8	52.0
58.0	40.0
58.2	32.0
58.4	42.0
58.6	35.0
58.8	43.0
59.0	42.0
59.2	40.0
59.4	39.0
59.6	39.0
59.8	41.0
60.0	35.0
