Detector angle	Rate at 33kV
2*theta/°	R(33kV)/Imp/s

84.0	7.0
84.1	8.0
84.4	13.0
84.6	11.0
84.8	8.0
85.0	13.0
85.2	17.0
85.4	11.0
85.6	15.0
85.8	25.0
86.0	38.0
86.1	58.0
86.4	176.0
86.6	262.0
86.8	244.0
87.0	153.0
87.2	63.0
87.4	23.0
87.6	20.0
87.8	23.0
88.0	20.0
88.2	14.0
88.4	17.0
88.6	16.0
88.8	17.0
89.0	20.0
89.1	14.0
89.4	15.0
89.6	13.0
89.8	16.0
90.0	17.0
90.2	14.0
90.4	11.0
90.6	10.0
90.8	9.0
91.0	12.0
91.1	16.0
91.4	10.0
91.6	12.0
91.8	10.0
92.0	8.0
92.2	15.0
92.4	13.0
92.6	14.0
92.8	16.0
93.0	14.0
93.2	13.0
93.4	16.0
93.6	13.0
93.8	12.0
94.0	13.0
94.1	9.0
94.4	10.0
94.6	14.0
94.8	14.0
95.0	15.0
95.2	15.0
95.4	13.0
95.6	13.0
95.8	5.0
96.0	16.0
96.1	15.0
96.4	14.0
96.6	17.0
96.8	16.0
97.0	18.0
97.2	14.0
97.4	18.0
97.6	23.0
97.8	24.0
98.0	37.0
98.2	47.0
98.4	128.0
98.6	310.0
98.8	795.0
99.0	1063.0
99.1	1196.0
99.4	762.0
99.6	455.0
99.8	140.0
100.0	46.0
100.2	30.0
100.4	17.0
100.6	20.0
100.8	18.0
101.0	14.0
101.2	18.0
101.4	13.0
101.6	15.0
