Detector angle	Rate at 33kV
2*theta/°	R(33kV)/Imp/s

6.0	244.0
6.2	233.0
6.4	229.0
6.6	223.0
6.8	187.0
7.0	177.0
7.2	165.0
7.4	140.0
7.6	103.0
7.8	124.0
8.0	89.0
8.2	78.0
8.4	82.0
8.6	79.0
8.8	64.0
9.0	60.0
9.2	62.0
9.4	55.0
9.6	57.0
9.8	56.0
10.0	71.0
10.2	69.0
10.4	90.0
10.6	102.0
10.8	109.0
11.0	124.0
11.2	162.0
11.3	167.0
11.6	180.0
11.8	186.0
12.0	205.0
12.2	192.0
12.4	214.0
12.6	201.0
12.8	223.0
13.0	217.0
13.2	215.0
13.4	236.0
13.6	221.0
13.8	234.0
14.0	234.0
14.2	244.0
14.4	235.0
14.6	227.0
14.8	225.0
15.0	225.0
15.2	237.0
15.4	222.0
15.6	234.0
15.8	243.0
16.0	236.0
16.2	234.0
16.4	214.0
16.6	233.0
16.7	237.0
17.0	215.0
17.2	234.0
17.4	222.0
17.6	207.0
17.7	224.0
18.0	213.0
18.2	207.0
18.4	200.0
18.6	204.0
18.8	213.0
19.0	205.0
19.2	188.0
19.4	201.0
19.6	212.0
19.8	189.0
20.0	200.0
20.2	190.0
20.4	195.0
20.6	183.0
20.8	196.0
21.0	213.0
21.2	204.0
21.4	188.0
21.6	193.0
21.7	199.0
22.0	199.0
22.2	188.0
22.4	188.0
22.6	200.0
22.8	172.0
23.0	184.0
23.2	196.0
23.4	181.0
23.6	191.0
23.8	181.0
24.0	169.0
24.2	167.0
24.4	153.0
24.6	176.0
24.7	188.0
25.0	171.0
25.2	150.0
25.4	162.0
25.6	160.0
25.8	144.0
26.0	139.0
26.2	143.0
26.4	113.0
26.6	134.0
26.8	130.0
27.0	127.0
27.2	122.0
27.4	123.0
27.6	125.0
27.8	111.0
28.0	125.0
28.2	123.0
28.4	112.0
28.6	112.0
28.8	113.0
29.0	106.0
29.2	109.0
29.4	113.0
29.6	108.0
29.8	108.0
30.0	109.0
30.2	95.0
30.4	81.0
30.6	84.0
30.8	99.0
31.0	83.0
31.2	90.0
31.4	99.0
31.6	82.0
31.8	82.0
32.0	76.0
32.2	81.0
32.4	80.0
32.5	78.0
32.8	78.0
33.0	81.0
33.2	84.0
33.4	78.0
33.6	73.0
33.8	84.0
34.0	70.0
34.2	66.0
34.4	75.0
34.5	70.0
34.8	63.0
35.0	71.0
35.2	72.0
35.4	63.0
35.5	61.0
35.8	59.0
36.0	52.0
36.2	55.0
36.4	58.0
36.5	66.0
36.8	61.0
37.0	51.0
37.2	64.0
37.4	58.0
37.5	45.0
37.8	55.0
38.0	53.0
38.2	55.0
38.4	51.0
38.6	47.0
38.8	56.0
39.0	50.0
39.2	65.0
39.4	93.0
39.5	146.0
39.8	167.0
40.0	136.0
40.2	69.0
40.4	43.0
40.5	54.0
40.8	46.0
41.0	50.0
41.2	55.0
41.4	46.0
41.5	51.0
41.8	47.0
42.0	47.0
42.2	47.0
42.4	59.0
42.6	83.0
42.8	97.0
43.0	120.0
43.2	132.0
43.4	170.0
43.6	203.0
43.8	778.0
44.0	2382.0
44.2	4384.0
44.4	4808.0
44.5	4191.0
44.8	960.0
45.0	250.0
45.2	116.0
45.4	104.0
45.5	92.0
45.8	86.0
46.0	74.0
46.2	71.0
46.4	61.0
46.5	77.0
46.8	68.0
47.0	61.0
47.2	68.0
47.4	56.0
47.6	55.0
47.8	60.0
48.0	56.0
48.2	56.0
48.4	60.0
48.6	48.0
48.8	58.0
49.0	58.0
49.2	53.0
49.4	45.0
49.5	42.0
49.8	42.0
50.0	36.0
50.2	42.0
50.4	49.0
50.5	47.0
50.8	35.0
51.0	41.0
51.2	29.0
51.4	32.0
51.6	40.0
51.8	39.0
52.0	37.0
52.2	30.0
52.4	37.0
52.6	40.0
52.8	39.0
53.0	22.0
53.2	31.0
53.4	29.0
53.6	25.0
53.8	26.0
54.0	24.0
54.2	33.0
54.4	19.0
54.6	26.0
54.8	24.0
55.0	21.0
55.2	21.0
55.4	20.0
55.6	25.0
55.8	27.0
56.0	19.0
56.2	22.0
56.4	22.0
56.6	16.0
56.8	18.0
57.0	20.0
57.2	20.0
57.4	15.0
57.6	17.0
57.8	12.0
58.0	14.0
58.2	13.0
58.4	23.0
58.6	19.0
58.8	12.0
59.0	13.0
59.2	16.0
59.4	11.0
59.6	15.0
59.8	21.0
60.0	17.0
