Detector angle	Rate at 33kV
2*theta/°	R(33kV)/Imp/s

6.0	139.0
6.2	140.0
6.4	132.0
6.6	144.0
6.8	114.0
7.0	101.0
7.2	91.0
7.4	77.0
7.6	80.0
7.8	66.0
8.0	57.0
8.2	53.0
8.4	43.0
8.6	41.0
8.8	37.0
9.0	34.0
9.2	33.0
9.4	37.0
9.6	29.0
9.8	29.0
10.0	29.0
10.2	32.0
10.4	25.0
10.6	36.0
10.8	37.0
11.0	37.0
11.2	45.0
11.3	53.0
11.6	53.0
11.8	70.0
12.0	69.0
12.2	67.0
12.4	74.0
12.6	82.0
12.8	91.0
13.0	81.0
13.2	89.0
13.4	92.0
13.6	98.0
13.8	92.0
14.0	92.0
14.2	86.0
14.4	92.0
14.6	89.0
14.8	103.0
15.0	87.0
15.2	95.0
15.4	96.0
15.6	96.0
15.8	94.0
16.0	100.0
16.2	93.0
16.4	97.0
16.6	92.0
16.7	94.0
17.0	100.0
17.2	95.0
17.4	96.0
17.6	99.0
17.7	84.0
18.0	95.0
18.2	82.0
18.4	87.0
18.6	80.0
18.8	84.0
19.0	92.0
19.2	116.0
19.4	140.0
19.6	168.0
19.8	192.0
20.0	203.0
20.2	204.0
20.4	214.0
20.6	210.0
20.8	199.0
21.0	197.0
21.2	198.0
21.4	208.0
21.6	217.0
21.7	227.0
22.0	216.0
22.2	210.0
22.4	193.0
22.6	202.0
22.8	200.0
23.0	214.0
23.2	200.0
23.4	209.0
23.6	215.0
23.8	210.0
24.0	224.0
24.2	205.0
24.4	201.0
24.6	207.0
24.7	196.0
25.0	197.0
25.2	193.0
25.4	196.0
25.6	186.0
25.8	191.0
26.0	197.0
26.2	189.0
26.4	171.0
26.6	168.0
26.8	149.0
27.0	152.0
27.2	146.0
27.4	157.0
27.6	158.0
27.8	137.0
28.0	152.0
28.2	146.0
28.4	142.0
28.6	144.0
28.8	140.0
29.0	140.0
29.2	142.0
29.4	132.0
29.6	134.0
29.8	131.0
30.0	136.0
30.2	122.0
30.4	130.0
30.6	114.0
30.8	119.0
31.0	120.0
31.2	104.0
31.4	109.0
31.6	111.0
31.8	107.0
32.0	114.0
32.2	101.0
32.4	99.0
32.5	96.0
32.8	96.0
33.0	102.0
33.2	103.0
33.4	89.0
33.6	90.0
33.8	96.0
34.0	75.0
34.2	86.0
34.4	75.0
34.5	84.0
34.8	86.0
35.0	75.0
35.2	84.0
35.4	76.0
35.5	75.0
35.8	70.0
36.0	72.0
36.2	72.0
36.4	62.0
36.5	65.0
36.8	62.0
37.0	69.0
37.2	69.0
37.4	69.0
37.5	62.0
37.8	66.0
38.0	59.0
38.2	56.0
38.4	53.0
38.6	55.0
38.8	54.0
39.0	56.0
39.2	49.0
39.4	57.0
39.5	52.0
39.8	64.0
40.0	60.0
40.2	60.0
40.4	56.0
40.5	58.0
40.8	49.0
41.0	59.0
41.2	51.0
41.4	53.0
41.5	55.0
41.8	48.0
42.0	45.0
42.2	47.0
42.4	49.0
42.6	52.0
42.8	52.0
43.0	42.0
43.2	41.0
43.4	40.0
43.6	45.0
43.8	44.0
44.0	42.0
44.2	36.0
44.4	43.0
44.5	43.0
44.8	39.0
45.0	47.0
45.2	31.0
45.4	38.0
45.5	32.0
45.8	37.0
46.0	34.0
46.2	28.0
46.4	35.0
46.5	36.0
46.8	38.0
47.0	33.0
47.2	34.0
47.4	33.0
47.6	31.0
47.8	33.0
48.0	25.0
48.2	29.0
48.4	31.0
48.6	25.0
48.8	33.0
49.0	28.0
49.2	29.0
49.4	25.0
49.5	26.0
49.8	26.0
50.0	23.0
50.2	24.0
50.4	26.0
50.5	25.0
50.8	34.0
51.0	38.0
51.2	77.0
51.4	95.0
51.6	88.0
51.8	68.0
52.0	34.0
52.2	26.0
52.4	26.0
52.6	24.0
52.8	24.0
53.0	19.0
53.2	21.0
53.4	21.0
53.6	19.0
53.8	27.0
54.0	20.0
54.2	18.0
54.4	19.0
54.6	14.0
54.8	19.0
55.0	19.0
55.2	20.0
55.4	15.0
55.6	16.0
55.8	14.0
56.0	19.0
56.2	19.0
56.4	18.0
56.6	19.0
56.8	40.0
57.0	87.0
57.2	100.0
57.4	91.0
57.6	54.0
57.8	26.0
58.0	13.0
58.2	15.0
58.4	13.0
58.6	13.0
58.8	15.0
59.0	14.0
59.2	15.0
59.4	10.0
59.6	11.0
59.8	15.0
60.0	10.0
