Detector angle	Rate at 33kV
2*theta/°	R(33kV)/Imp/s

20.0	272.0
20.2	277.0
20.4	277.0
20.6	315.0
20.8	309.0
21.0	287.0
21.2	313.0
21.4	305.0
21.6	295.0
21.7	302.0
22.0	297.0
22.2	295.0
22.4	304.0
22.6	296.0
22.8	298.0
23.0	303.0
23.2	319.0
23.4	293.0
23.6	296.0
23.8	303.0
24.0	307.0
24.2	274.0
24.4	298.0
24.6	283.0
24.7	316.0
25.0	296.0
25.2	304.0
25.4	269.0
25.6	278.0
25.8	240.0
26.0	257.0
26.2	241.0
26.4	234.0
26.6	225.0
26.8	211.0
27.0	227.0
27.2	204.0
27.4	231.0
27.6	222.0
27.8	222.0
28.0	243.0
28.2	209.0
28.4	235.0
28.6	230.0
28.8	214.0
29.0	220.0
29.2	210.0
29.4	212.0
29.6	219.0
29.8	216.0
30.0	215.0
30.2	228.0
30.4	202.0
30.6	200.0
30.8	212.0
31.0	211.0
31.2	199.0
31.4	201.0
31.6	204.0
31.8	205.0
32.0	187.0
32.2	197.0
32.4	189.0
32.5	180.0
32.8	174.0
33.0	173.0
33.2	179.0
33.4	160.0
33.6	160.0
33.8	188.0
34.0	175.0
34.2	178.0
34.4	162.0
34.5	138.0
34.8	152.0
35.0	152.0
35.2	157.0
35.4	152.0
35.5	151.0
35.8	137.0
36.0	152.0
36.2	146.0
36.4	150.0
36.5	158.0
36.8	149.0
37.0	140.0
37.2	151.0
37.4	141.0
37.5	143.0
37.8	140.0
38.0	142.0
38.2	136.0
38.4	139.0
38.6	153.0
38.8	142.0
39.0	198.0
39.2	434.0
39.4	1108.0
39.5	1963.0
39.8	2060.0
40.0	1588.0
40.2	573.0
40.4	255.0
40.5	212.0
40.8	181.0
41.0	197.0
41.2	183.0
41.4	182.0
41.5	168.0
41.8	176.0
42.0	169.0
42.2	185.0
42.4	168.0
42.6	189.0
42.8	164.0
43.0	188.0
43.2	219.0
43.4	256.0
43.6	379.0
43.8	1438.0
44.0	4634.0
44.2	6645.0
44.4	6629.0
44.5	5715.0
44.8	1216.0
45.0	339.0
45.2	187.0
45.4	145.0
45.5	138.0
45.8	129.0
46.0	122.0
46.2	118.0
46.4	111.0
46.5	109.0
46.8	95.0
47.0	103.0
47.2	93.0
47.4	95.0
47.6	101.0
47.8	109.0
48.0	103.0
48.2	89.0
48.4	77.0
48.6	82.0
48.8	73.0
49.0	71.0
49.2	67.0
49.4	70.0
49.5	64.0
49.8	62.0
50.0	70.0
50.2	59.0
50.4	63.0
50.5	65.0
50.8	62.0
51.0	62.0
51.2	75.0
51.4	60.0
51.6	54.0
51.8	51.0
52.0	56.0
52.2	45.0
52.4	68.0
52.6	52.0
52.8	54.0
53.0	55.0
53.2	55.0
53.4	60.0
53.6	51.0
53.8	43.0
54.0	47.0
54.2	37.0
54.4	43.0
54.6	52.0
54.8	41.0
55.0	36.0
55.2	30.0
55.4	41.0
55.6	32.0
55.8	37.0
56.0	39.0
56.2	36.0
56.4	36.0
56.6	40.0
56.8	28.0
57.0	33.0
57.2	30.0
57.4	36.0
57.6	39.0
57.8	33.0
58.0	31.0
58.2	27.0
58.4	22.0
58.6	30.0
58.8	28.0
59.0	33.0
59.2	25.0
59.4	31.0
59.6	29.0
59.8	27.0
60.0	19.0
